Kategoria,Podkategoria,Opis
Projekt-Podstawy,Nazwa,buciaczek-sklep
Projekt-Podstawy,Opis,"Sklep z obuwiem dziecięcym Buciaczek - magiczny świat obuwia dla dzieci 2-6 lat"
Projekt-Podstawy,Wersja,1.0.0
Projekt-Podstawy,Lokalizacja,/Users/krzyk/Desktop/buciaczek-sklep
Hosting,Platforma,Netlify
Hosting,URL-Produkcja,https://buciaczek.eu
Hosting,URL-Tymczasowy,https://buciaczek-sklep.netlify.app
Hosting,Project-ID,7930a74d-54ef-4828-8a2f-f740136a9704
Hosting,Panel-Admin,https://app.netlify.com/projects/buciaczek-sklep
DNS,Domena,buciaczek.eu
DNS,Registrar,Hostido
DNS,Nameservery,"Netlify DNS (dns1-4.p01.nsone.net)"
DNS,Status,Aktywne - propagacja zakończona
DNS,SSL,Automatyczny certyfikat Netlify
Struktura-Plików,Główny-HTML,index.html
Struktura-Plików,Konfiguracja-Netlify,netlify.toml
Struktura-Plików,Konfiguracja-Node,package.json
Struktura-Plików,Zmienne-Środowiskowe,.env (lokalne)
Struktura-Plików,Funkcje-API,netlify/functions/ (6 plików)
Struktura-Plików,Stan-Netlify,.netlify/state.json
API-Funkcje,get-products,"Pobiera wszystkie produkty z Airtable z cenami, stanami, rozmiarami"
API-Funkcje,get-products-backup,"Kopia zapasowa funkcji get-products"
API-Funkcje,check-stock,"Sprawdza dostępność konkretnego produktu w rozmiarze"
API-Funkcje,update-stock,"Aktualizuje stan magazynowy produktu"
API-Funkcje,update-size-stock,"Aktualizuje stany per rozmiar"
API-Funkcje,create-order,"Tworzy nowe zamówienie (przygotowane pod Stripe)"
Baza-Danych,Typ,Airtable
Baza-Danych,Base-ID,app6nvI6MipJpvTQp
Baza-Danych,Tabela-Główna,Produkty
Baza-Danych,Pola-Kluczowe,"Nazwa, Cena, Opis, Zdjecia, Rozmiary_Stan"
Baza-Danych,Stany-Magazynowe,"JSON per rozmiar: {""26"":1,""27"":2,""28"":0}"
Technologie,Frontend,HTML5 + CSS3 + Vanilla JavaScript
Technologie,Backend,Netlify Functions (Node.js)
Technologie,CSS-Framework,"Własne style z CSS Grid i Flexbox"
Technologie,Responsywność,"Mobile-first design z breakpointami"
Technologie,Ikony,Własne SVG + emoji
Funkcjonalności,System-Rozmiarów,"26-32 z indywidualnymi stanami magazynowymi"
Funkcjonalności,Koszyk,LocalStorage z produktami i rozmiarami
Funkcjonalności,Responsywność,"Pełna responsywność mobile/tablet/desktop"
Funkcjonalności,Zdjęcia,Prawdziwe zdjęcia z Airtable API
Funkcjonalności,SEO,"Meta tags, structured data ready"
Funkcjonalności,Performance,"Lazy loading, optimized images"
Płatności,System,Stripe (skonfigurowane ale nieaktywne)
Płatności,Klucze,"Testowe klucze w .env (pk_test_, sk_test_)"
Płatności,Status,Przygotowane do aktywacji
Komendy,Rozwój-Lokalny,"npm run dev (uruchamia netlify dev)"
Komendy,Wdrożenie,"npm run deploy (uruchamia netlify deploy --prod)"
Komendy,Build,Automatyczny build przez Netlify
